#At  time  x  allocated  y  bytes  for   process  z  from  i  to  j
At time 850 allocated 256 bytes for process 20 from 768 to 1023
At time 868 freed 256 bytes from proccess 20 from 768 to 1023
At time 868 allocated 256 bytes for process 32 from 768 to 1023
At time 886 freed 256 bytes from proccess 32 from 768 to 1023
At time 886 allocated 256 bytes for process 36 from 768 to 1023
At time 905 freed 256 bytes from proccess 36 from 768 to 1023
At time 905 allocated 256 bytes for process 61 from 768 to 1023
At time 924 freed 256 bytes from proccess 61 from 768 to 1023
At time 924 allocated 256 bytes for process 42 from 768 to 1023
At time 944 freed 256 bytes from proccess 42 from 768 to 1023
At time 944 allocated 256 bytes for process 14 from 768 to 1023
At time 968 freed 256 bytes from proccess 14 from 768 to 1023
At time 968 allocated 256 bytes for process 69 from 768 to 1023
At time 992 freed 256 bytes from proccess 69 from 768 to 1023
At time 992 allocated 256 bytes for process 19 from 768 to 1023
At time 1017 freed 64 bytes from proccess 97 from 256 to 319
At time 1042 freed 256 bytes from proccess 19 from 768 to 1023
At time 1042 allocated 256 bytes for process 81 from 768 to 1023
At time 1067 freed 256 bytes from proccess 81 from 768 to 1023
At time 1067 allocated 256 bytes for process 89 from 768 to 1023
At time 1092 freed 256 bytes from proccess 89 from 768 to 1023
At time 1092 allocated 256 bytes for process 66 from 768 to 1023
At time 1118 freed 64 bytes from proccess 86 from 320 to 383
At time 1144 freed 256 bytes from proccess 66 from 768 to 1023
At time 1144 allocated 256 bytes for process 91 from 768 to 1023
At time 1170 freed 256 bytes from proccess 91 from 768 to 1023
At time 1170 allocated 256 bytes for process 87 from 768 to 1023
At time 1197 freed 256 bytes from proccess 7 from 512 to 767
At time 1197 allocated 256 bytes for process 22 from 512 to 767
At time 1224 freed 128 bytes from proccess 8 from 0 to 127
At time 1251 freed 16 bytes from proccess 10 from 384 to 399
At time 1278 freed 128 bytes from proccess 21 from 128 to 255
At time 1305 freed 4 bytes from proccess 47 from 400 to 403
At time 1332 freed 256 bytes from proccess 87 from 768 to 1023
At time 1360 freed 256 bytes from proccess 22 from 512 to 767
